product_name,product_subtitle,product_price,product_no_colors
Air Jordan 1 Retro High OG 'Cool Blue',Men's Shoe,"₹15,995",4 Colours
Air Jordan 6 Retro CNY,Men's Shoe,"₹24,995",1 Colour
Nike Air VaporMax Flyknit,Men's Running Shoe,"₹19,995",3 Colours
Nike Metcon 4,Men's Training Shoe,"₹11,995",3 Colours
Kyrie 4,Basketball Shoe,"₹10,995",2 Colours
Nike Zoom Fly,Men's Running Shoe,"₹14,495",2 Colours
Nike Free RN Flyknit 2017,Men's Running Shoe,"₹11,995",6 Colours
Air Jordan 1 Mid,Men's Shoe,"₹9,995",2 Colours
Nike Air Force 1 Low 07 LV8,Men's Shoe,"₹8,495",5 Colours
Jordan Zoom Tenacity,Men's Running Shoe,"₹10,995",3 Colours
NikeCourt Classic AC ND,Men's shoe,"₹6,795",2 Colours
